# 126 words for R₇ at Suzuki p
# Format: idx | word | c0 | c1 | c2 | K_w
# (coefficient = c0 + c1·p + c2·p², K_w = upper bound on |coef| over [41449/10⁵, 41450/10⁵])
# Sum K_w = 1950990333/100000000000 ≈ 0.019509903330

0|AAAAAAB|-17/14515200|73/8294400|1/28800|527657/62500000000
1|AAAAABA|17/2419200|-73/1382400|-1/4800|50655069/1000000000000
2|AAAAABB|17/2419200|-73/1382400|-1/4800|50655069/1000000000000
3|AAAABAA|-17/967680|73/552960|1/1920|126637671/1000000000000
4|AAAABAB|-9281/604800000|343/3200000|10831/14400000|158311207/1000000000000
5|AAAABBA|-11969/604800000|27103/172800000|4169/14400000|18992827/200000000000
6|AAAABBB|-3691/201600000|9091/64800000|19169/43200000|58039913/500000000000
7|AAABAAA|17/725760|-73/414720|-1/1440|42212557/250000000000
8|AAABAAB|1999/302400000|-647/21600000|-671/675000|44149369/250000000000
9|AAABABA|3641/75600000|-7967/21600000|-11021/10800000|70012469/250000000000
10|AAABABB|3641/75600000|-7967/21600000|-11021/10800000|70012469/250000000000
11|AAABBAA|4687/302400000|-1241/9600000|-743/10800000|49903331/1000000000000
12|AAABBAB|-587/16800000|6673/21600000|-10451/10800000|18286269/250000000000
13|AAABBBA|4537/75600000|-16241/32400000|2303/10800000|2222487/20000000000
14|AAABBBB|11969/453600000|-27103/129600000|-4169/10800000|63309423/500000000000
15|AABAAAA|-17/967680|73/552960|1/1920|126637671/1000000000000
16|AABAAAB|-4091/302400000|281/2700000|13423/21600000|85237/625000000
17|AABAABA|523/25200000|-1601/7200000|2683/2400000|12065483/100000000000
18|AABAABB|523/25200000|-1601/7200000|2683/2400000|12065483/100000000000
19|AABABAA|-4687/50400000|1241/1600000|743/1800000|18713749/62500000000
20|AABABAB|-509/10080000|151/360000|167/120000|362466289/1000000000000
21|AABABBA|-6829/50400000|8149/7200000|-1019/1800000|2954671/12500000000
22|AABABBB|-5401/50400000|9659/10800000|467/5400000|5568091/20000000000
23|AABBAAA|4687/302400000|-1241/9600000|-743/10800000|49903331/1000000000000
24|AABBAAB|-1093/100800000|829/7200000|-2323/3600000|73983521/1000000000000
25|AABBABA|8921/50400000|-11351/7200000|10087/3600000|246799/50000000000
26|AABBABB|8921/50400000|-11351/7200000|10087/3600000|246799/50000000000
27|AABBBAA|-1861/16800000|5261/5400000|-647/450000|46033871/1000000000000
28|AABBBAB|-22573/151200000|14519/10800000|-1019/450000|18892077/1000000000000
29|AABBBBA|11/37800000|-167/4800000|721/1350000|3881463/50000000000
30|AABBBBB|-1511/75600000|883/5400000|31/300000|3277269/50000000000
31|ABAAAAA|17/2419200|-73/1382400|-1/4800|50655069/1000000000000
32|ABAAAAB|331/24192000|-109/864000|107/1728000|27971323/1000000000000
33|ABAAABA|-523/18900000|1601/5400000|-2683/1800000|160873107/1000000000000
34|ABAAABB|-523/18900000|1601/5400000|-2683/1800000|160873107/1000000000000
35|ABAABAA|523/25200000|-1601/7200000|2683/2400000|12065483/100000000000
36|ABAABAB|111/2800000|-193/450000|3403/1800000|46671309/250000000000
37|ABAABBA|47/25200000|-19/1200000|1243/3600000|2184977/40000000000
38|ABAABBB|1093/75600000|-829/5400000|2323/2700000|19728939/200000000000
39|ABABAAA|3641/75600000|-7967/21600000|-11021/10800000|70012469/250000000000
40|ABABAAB|911/16800000|-203/450000|-631/900000|253217441/1000000000000
41|ABABABA|-1093/12600000|829/900000|-2323/450000|591868167/1000000000000
42|ABABABB|-1093/12600000|829/900000|-2323/450000|591868167/1000000000000
43|ABABBAA|8921/50400000|-11351/7200000|10087/3600000|246799/50000000000
44|ABABBAB|4919/25200000|-547/300000|47/12500|85433287/1000000000000
45|ABABBBA|2909/37800000|-1043/1800000|-1327/2700000|247663607/1000000000000
46|ABABBBB|449/5040000|-1607/2160000|53/360000|12124921/62500000000
47|ABBAAAA|-11969/604800000|27103/172800000|4169/14400000|18992827/200000000000
48|ABBAAAB|-289/25200000|71/900000|5927/10800000|5776001/50000000000
49|ABBAABA|47/25200000|-19/1200000|1243/3600000|2184977/40000000000
50|ABBAABB|47/25200000|-19/1200000|1243/3600000|2184977/40000000000
51|ABBABAA|-6829/50400000|8149/7200000|-1019/1800000|2954671/12500000000
52|ABBABAB|-2921/25200000|869/900000|19/900000|57587437/200000000000
53|ABBABBA|-977/6300000|4673/3600000|-173/150000|7392407/40000000000
54|ABBABBB|-1193/8400000|2137/1800000|-2057/2700000|43837169/200000000000
55|ABBBAAA|4537/75600000|-16241/32400000|2303/10800000|2222487/20000000000
56|ABBBAAB|3587/50400000|-3379/5400000|1673/2700000|81740181/1000000000000
57|ABBBABA|2909/37800000|-1043/1800000|-1327/2700000|247663607/1000000000000
58|ABBBABB|2909/37800000|-1043/1800000|-1327/2700000|247663607/1000000000000
59|ABBBBAA|11/37800000|-167/4800000|721/1350000|3881463/50000000000
60|ABBBBAB|67/2520000|-229/720000|1619/1080000|76154783/500000000000
61|ABBBBBA|-67/6300000|229/1800000|-1619/2700000|60923827/1000000000000
62|ABBBBBB|449/75600000|-1607/32400000|53/5400000|51733/4000000000
63|BAAAAAA|-17/14515200|73/8294400|1/28800|527657/62500000000
64|BAAAAAB|-331/60480000|109/2160000|-107/4320000|1118853/100000000000
65|BAAAABA|331/24192000|-109/864000|107/1728000|27971323/1000000000000
66|BAAAABB|331/24192000|-109/864000|107/1728000|27971323/1000000000000
67|BAAABAA|-4091/302400000|281/2700000|13423/21600000|85237/625000000
68|BAAABAB|-2357/151200000|349/2700000|937/1350000|157238379/1000000000000
69|BAAABBA|-289/25200000|71/900000|5927/10800000|5776001/50000000000
70|BAAABBB|-233/18144000|31/324000|43/72000|6471307/50000000000
71|BAABAAA|1999/302400000|-647/21600000|-671/675000|44149369/250000000000
72|BAABAAB|-1187/50400000|443/1800000|-1963/1200000|101295733/500000000000
73|BAABABA|911/16800000|-203/450000|-631/900000|253217441/1000000000000
74|BAABABB|911/16800000|-203/450000|-631/900000|253217441/1000000000000
75|BAABBAA|-1093/100800000|829/7200000|-2323/3600000|73983521/1000000000000
76|BAABBAB|-5107/50400000|283/300000|-4627/1800000|37991373/250000000000
77|BAABBBA|3587/50400000|-3379/5400000|1673/2700000|81740181/1000000000000
78|BAABBBB|41/3780000|-53/720000|-239/360000|133728161/1000000000000
79|BABAAAA|-9281/604800000|343/3200000|10831/14400000|158311207/1000000000000
80|BABAAAB|-2357/151200000|349/2700000|937/1350000|157238379/1000000000000
81|BABAABA|111/2800000|-193/450000|3403/1800000|46671309/250000000000
82|BABAABB|111/2800000|-193/450000|3403/1800000|46671309/250000000000
83|BABABAA|-509/10080000|151/360000|167/120000|362466289/1000000000000
84|BABABAB|47/3150000|-19/150000|1243/450000|436995393/1000000000000
85|BABABBA|-2921/25200000|869/900000|19/900000|57587437/200000000000
86|BABABBB|-911/12600000|203/337500|631/675000|168811627/500000000000
87|BABBAAA|-587/16800000|6673/21600000|-10451/10800000|18286269/250000000000
88|BABBAAB|-5107/50400000|283/300000|-4627/1800000|37991373/250000000000
89|BABBABA|4919/25200000|-547/300000|47/12500|85433287/1000000000000
90|BABBABB|4919/25200000|-547/300000|47/12500|85433287/1000000000000
91|BABBBAA|-22573/151200000|14519/10800000|-1019/450000|18892077/1000000000000
92|BABBBAB|-4919/18900000|547/225000|-47/9375|113911049/1000000000000
93|BABBBBA|67/2520000|-229/720000|1619/1080000|76154783/500000000000
94|BABBBBB|-449/12600000|1607/5400000|-53/900000|15519899/200000000000
95|BBAAAAA|17/2419200|-73/1382400|-1/4800|50655069/1000000000000
96|BBAAAAB|331/24192000|-109/864000|107/1728000|27971323/1000000000000
97|BBAAABA|-523/18900000|1601/5400000|-2683/1800000|160873107/1000000000000
98|BBAAABB|-523/18900000|1601/5400000|-2683/1800000|160873107/1000000000000
99|BBAABAA|523/25200000|-1601/7200000|2683/2400000|12065483/100000000000
100|BBAABAB|111/2800000|-193/450000|3403/1800000|46671309/250000000000
101|BBAABBA|47/25200000|-19/1200000|1243/3600000|2184977/40000000000
102|BBAABBB|1093/75600000|-829/5400000|2323/2700000|19728939/200000000000
103|BBABAAA|3641/75600000|-7967/21600000|-11021/10800000|70012469/250000000000
104|BBABAAB|911/16800000|-203/450000|-631/900000|253217441/1000000000000
105|BBABABA|-1093/12600000|829/900000|-2323/450000|591868167/1000000000000
106|BBABABB|-1093/12600000|829/900000|-2323/450000|591868167/1000000000000
107|BBABBAA|8921/50400000|-11351/7200000|10087/3600000|246799/50000000000
108|BBABBAB|4919/25200000|-547/300000|47/12500|85433287/1000000000000
109|BBABBBA|2909/37800000|-1043/1800000|-1327/2700000|247663607/1000000000000
110|BBABBBB|449/5040000|-1607/2160000|53/360000|12124921/62500000000
111|BBBAAAA|-3691/201600000|9091/64800000|19169/43200000|58039913/500000000000
112|BBBAAAB|-233/18144000|31/324000|43/72000|6471307/50000000000
113|BBBAABA|1093/75600000|-829/5400000|2323/2700000|19728939/200000000000
114|BBBAABB|1093/75600000|-829/5400000|2323/2700000|19728939/200000000000
115|BBBABAA|-5401/50400000|9659/10800000|467/5400000|5568091/20000000000
116|BBBABAB|-911/12600000|203/337500|631/675000|168811627/500000000000
117|BBBABBA|-1193/8400000|2137/1800000|-2057/2700000|43837169/200000000000
118|BBBABBB|-449/3780000|1607/1620000|-53/270000|258664981/1000000000000
119|BBBBAAA|11969/453600000|-27103/129600000|-4169/10800000|63309423/500000000000
